Model name,Dataset / asset,Model family,Feature set,Directional Accuracy,Accuracy,Precision,Recall,F1,Specificity,Balanced Accuracy,Predicted up rate,True up rate,Majority baseline accuracy,Momentum baseline accuracy,Validation threshold,Threshold objective,Validation F1,Validation accuracy,Validation balanced accuracy,Sharpe ratio,Information coefficient,Training time,Inference time,Parameter count,Data source,Notes
Majority baseline,AAPL,Baseline,Target distribution,0.5333333333333333,0.5333333333333333,0.5333333333333333,1.0,0.6956521739130436,0.0,0.5,1.0,0.5333333333333333,0.5333333333333333,0.5,N/A,N/A,N/A,N/A,N/A,1.0410547715271452,N/A,0.0,0.0,0.0,yfinance,Time-ordered test baseline for the next-day up/down prediction track.
Momentum baseline,AAPL,Baseline,Previous-day return sign,0.5,0.5,0.53125,0.53125,0.53125,0.4642857142857143,0.49776785714285715,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5,N/A,N/A,N/A,N/A,N/A,-0.18974080588855832,N/A,0.0,0.0,0.0,yfinance,Time-ordered test baseline for the next-day up/down prediction track.
ANN,AAPL,ANNClassifier,"Open, High, Low, Close, Volume, RSI, MACD, MACD_Signal, MACD_Hist, SMA5, SMA10, SMA20, ADX, Return_1, Log_Return_1, Return_2, Return_5, Momentum_3, Momentum_5, Volatility_5, Volatility_10, Volatility_20, Close_SMA5_Ratio, Close_SMA10_Ratio, Close_SMA20_Ratio, High_Low_Range, Open_Close_Range, Volume_Change, Volume_ZScore_20",0.5333333333333333,0.5333333333333333,0.5333333333333333,1.0,0.6956521739130436,0.0,0.5,1.0,0.5333333333333333,0.5333333333333333,0.5,0.49,f1,0.6764705882352942,0.5111111111111111,0.4946236559139785,1.0410547715271452,-0.09801169714428017,23.28373929999998,0.12416299999995317,2641.0,yfinance,"Classical ANN comparison from the interim qubit/qutrit paper track. Bidirectional direction track: next-day up/down target, train-only feature scaling, time-ordered train/validation/test split, validation-calibrated probability threshold. Feature count=29, hidden_dim=48, device=cuda."
QQBN,AAPL,QQBNClassifier,"Open, High, Low, Close, Volume, RSI, MACD, MACD_Signal, MACD_Hist, SMA5, SMA10, SMA20, ADX, Return_1, Log_Return_1, Return_2, Return_5, Momentum_3, Momentum_5, Volatility_5, Volatility_10, Volatility_20, Close_SMA5_Ratio, Close_SMA10_Ratio, Close_SMA20_Ratio, High_Low_Range, Open_Close_Range, Volume_Change, Volume_ZScore_20",0.5333333333333333,0.5333333333333333,0.5333333333333333,1.0,0.6956521739130436,0.0,0.5,1.0,0.5333333333333333,0.5333333333333333,0.5,0.51,f1,0.6764705882352942,0.5111111111111111,0.4946236559139785,1.0410547715271452,-0.039211055888455124,8.947905699999865,0.23474290000012843,4033.0,yfinance,"Qubit-inspired comparison model from the interim QQBN track. Bidirectional direction track: next-day up/down target, train-only feature scaling, time-ordered train/validation/test split, validation-calibrated probability threshold. Feature count=29, hidden_dim=48, device=cuda."
QQTN,AAPL,QQTNClassifier,"Open, High, Low, Close, Volume, RSI, MACD, MACD_Signal, MACD_Hist, SMA5, SMA10, SMA20, ADX, Return_1, Log_Return_1, Return_2, Return_5, Momentum_3, Momentum_5, Volatility_5, Volatility_10, Volatility_20, Close_SMA5_Ratio, Close_SMA10_Ratio, Close_SMA20_Ratio, High_Low_Range, Open_Close_Range, Volume_Change, Volume_ZScore_20",0.5333333333333333,0.5333333333333333,0.5333333333333333,1.0,0.6956521739130436,0.0,0.5,1.0,0.5333333333333333,0.5333333333333333,0.5,0.495,f1,0.6814814814814815,0.5222222222222223,0.5061179087875417,1.0410547715271452,-0.008405202122513175,0.8450844999997571,0.001638499999899068,5425.0,yfinance,"Main bidirectional model. Reuses the qutrit-inspired three-state feature map from the interim QQTN track. Bidirectional direction track: next-day up/down target, train-only feature scaling, time-ordered train/validation/test split, validation-calibrated probability threshold. Feature count=29, hidden_dim=48, device=cuda."
QQTN balanced threshold,AAPL,QQTNClassifier,"Open, High, Low, Close, Volume, RSI, MACD, MACD_Signal, MACD_Hist, SMA5, SMA10, SMA20, ADX, Return_1, Log_Return_1, Return_2, Return_5, Momentum_3, Momentum_5, Volatility_5, Volatility_10, Volatility_20, Close_SMA5_Ratio, Close_SMA10_Ratio, Close_SMA20_Ratio, High_Low_Range, Open_Close_Range, Volume_Change, Volume_ZScore_20",0.5333333333333333,0.5333333333333333,0.5333333333333333,1.0,0.6956521739130436,0.0,0.5,1.0,0.5333333333333333,0.5333333333333333,0.5,0.51,balanced_accuracy,0.674329501915709,0.5277777777777778,0.5133481646273638,1.0410547715271452,-0.008405202122513175,0.8450844999997571,0.001638499999899068,5425.0,yfinance,"Same trained QQTN probabilities as the main row, but the validation threshold optimizes balanced accuracy to reduce one-sided up/down predictions. Main bidirectional model. Reuses the qutrit-inspired three-state feature map from the interim QQTN track. Bidirectional direction track: next-day up/down target, train-only feature scaling, time-ordered train/validation/test split, validation-calibrated probability threshold. Feature count=29, hidden_dim=48, device=cuda."
ANN+QQBN+QQTN ensemble,AAPL,ANN/QQBN/QQTN calibrated ensemble,"Open, High, Low, Close, Volume, RSI, MACD, MACD_Signal, MACD_Hist, SMA5, SMA10, SMA20, ADX, Return_1, Log_Return_1, Return_2, Return_5, Momentum_3, Momentum_5, Volatility_5, Volatility_10, Volatility_20, Close_SMA5_Ratio, Close_SMA10_Ratio, Close_SMA20_Ratio, High_Low_Range, Open_Close_Range, Volume_Change, Volume_ZScore_20",0.5333333333333333,0.5333333333333333,0.5333333333333333,1.0,0.6956521739130436,0.0,0.5,1.0,0.5333333333333333,0.5333333333333333,0.5,0.5299999999999999,accuracy,0.6379310344827587,0.5333333333333333,0.5242862439747868,1.0410547715271452,-0.0669249859452713,0.0,0.0,0.0,yfinance,"Validation-calibrated probability average over the reused interim ANN, QQBN, and QQTN models. This is an ensemble view, not a new paper architecture."
ANN+QQBN+QQTN balanced ensemble,AAPL,ANN/QQBN/QQTN calibrated ensemble,"Open, High, Low, Close, Volume, RSI, MACD, MACD_Signal, MACD_Hist, SMA5, SMA10, SMA20, ADX, Return_1, Log_Return_1, Return_2, Return_5, Momentum_3, Momentum_5, Volatility_5, Volatility_10, Volatility_20, Close_SMA5_Ratio, Close_SMA10_Ratio, Close_SMA20_Ratio, High_Low_Range, Open_Close_Range, Volume_Change, Volume_ZScore_20",0.5333333333333333,0.5333333333333333,0.5333333333333333,1.0,0.6956521739130436,0.0,0.5,1.0,0.5333333333333333,0.5333333333333333,0.5,0.5299999999999999,balanced_accuracy,0.6379310344827587,0.5333333333333333,0.5242862439747868,1.0410547715271452,-0.0669249859452713,0.0,0.0,0.0,yfinance,"Same probability average as the ensemble row, but with the validation threshold optimized for balanced accuracy. This row is included to inspect the up/down class balance directly."
Majority baseline,MSFT,Baseline,Target distribution,0.4722222222222222,0.4722222222222222,0.4722222222222222,1.0,0.6415094339622641,0.0,0.5,1.0,0.4722222222222222,0.4722222222222222,0.5555555555555556,N/A,N/A,N/A,N/A,N/A,-1.15031523653609,N/A,0.0,0.0,0.0,yfinance,Time-ordered test baseline for the next-day up/down prediction track.
Momentum baseline,MSFT,Baseline,Previous-day return sign,0.5555555555555556,0.5555555555555556,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.5789473684210527,0.5541795665634675,0.4722222222222222,0.4722222222222222,0.4722222222222222,0.5555555555555556,N/A,N/A,N/A,N/A,N/A,1.975329416312881,N/A,0.0,0.0,0.0,yfinance,Time-ordered test baseline for the next-day up/down prediction track.
ANN,MSFT,ANNClassifier,"Open, High, Low, Close, Volume, RSI, MACD, MACD_Signal, MACD_Hist, SMA5, SMA10, SMA20, ADX, Return_1, Log_Return_1, Return_2, Return_5, Momentum_3, Momentum_5, Volatility_5, Volatility_10, Volatility_20, Close_SMA5_Ratio, Close_SMA10_Ratio, Close_SMA20_Ratio, High_Low_Range, Open_Close_Range, Volume_Change, Volume_ZScore_20",0.4777777777777778,0.4777777777777778,0.4745762711864407,0.9882352941176471,0.6412213740458015,0.021052631578947368,0.5046439628482973,0.9833333333333333,0.4722222222222222,0.4722222222222222,0.5555555555555556,0.495,f1,0.6893939393939396,0.5444444444444444,0.5069686411149826,-0.9525860218350233,-0.06936401990844236,0.6924694999997882,0.000764800000069954,2641.0,yfinance,"Classical ANN comparison from the interim qubit/qutrit paper track. Bidirectional direction track: next-day up/down target, train-only feature scaling, time-ordered train/validation/test split, validation-calibrated probability threshold. Feature count=29, hidden_dim=48, device=cuda."
QQBN,MSFT,QQBNClassifier,"Open, High, Low, Close, Volume, RSI, MACD, MACD_Signal, MACD_Hist, SMA5, SMA10, SMA20, ADX, Return_1, Log_Return_1, Return_2, Return_5, Momentum_3, Momentum_5, Volatility_5, Volatility_10, Volatility_20, Close_SMA5_Ratio, Close_SMA10_Ratio, Close_SMA20_Ratio, High_Low_Range, Open_Close_Range, Volume_Change, Volume_ZScore_20",0.4722222222222222,0.4722222222222222,0.4722222222222222,1.0,0.6415094339622641,0.0,0.5,1.0,0.4722222222222222,0.4722222222222222,0.5555555555555556,0.46499999999999997,f1,0.700361010830325,0.5388888888888889,0.49489795918367346,-1.15031523653609,-0.05244967126512739,0.5990712999996504,0.002182100000027276,4033.0,yfinance,"Qubit-inspired comparison model from the interim QQBN track. Bidirectional direction track: next-day up/down target, train-only feature scaling, time-ordered train/validation/test split, validation-calibrated probability threshold. Feature count=29, hidden_dim=48, device=cuda."
QQTN,MSFT,QQTNClassifier,"Open, High, Low, Close, Volume, RSI, MACD, MACD_Signal, MACD_Hist, SMA5, SMA10, SMA20, ADX, Return_1, Log_Return_1, Return_2, Return_5, Momentum_3, Momentum_5, Volatility_5, Volatility_10, Volatility_20, Close_SMA5_Ratio, Close_SMA10_Ratio, Close_SMA20_Ratio, High_Low_Range, Open_Close_Range, Volume_Change, Volume_ZScore_20",0.48333333333333334,0.48333333333333334,0.47752808988764045,1.0,0.6463878326996197,0.021052631578947368,0.5105263157894737,0.9888888888888889,0.4722222222222222,0.4722222222222222,0.5555555555555556,0.51,f1,0.7007299270072993,0.5444444444444444,0.5019910403185665,-0.7609637526112233,0.24632334169690417,0.6384836000001997,0.0024914999999055,5425.0,yfinance,"Main bidirectional model. Reuses the qutrit-inspired three-state feature map from the interim QQTN track. Bidirectional direction track: next-day up/down target, train-only feature scaling, time-ordered train/validation/test split, validation-calibrated probability threshold. Feature count=29, hidden_dim=48, device=cuda."
QQTN balanced threshold,MSFT,QQTNClassifier,"Open, High, Low, Close, Volume, RSI, MACD, MACD_Signal, MACD_Hist, SMA5, SMA10, SMA20, ADX, Return_1, Log_Return_1, Return_2, Return_5, Momentum_3, Momentum_5, Volatility_5, Volatility_10, Volatility_20, Close_SMA5_Ratio, Close_SMA10_Ratio, Close_SMA20_Ratio, High_Low_Range, Open_Close_Range, Volume_Change, Volume_ZScore_20",0.48333333333333334,0.48333333333333334,0.47752808988764045,1.0,0.6463878326996197,0.021052631578947368,0.5105263157894737,0.9888888888888889,0.4722222222222222,0.4722222222222222,0.5555555555555556,0.51,balanced_accuracy,0.7007299270072993,0.5444444444444444,0.5019910403185665,-0.7609637526112233,0.24632334169690417,0.6384836000001997,0.0024914999999055,5425.0,yfinance,"Same trained QQTN probabilities as the main row, but the validation threshold optimizes balanced accuracy to reduce one-sided up/down predictions. Main bidirectional model. Reuses the qutrit-inspired three-state feature map from the interim QQTN track. Bidirectional direction track: next-day up/down target, train-only feature scaling, time-ordered train/validation/test split, validation-calibrated probability threshold. Feature count=29, hidden_dim=48, device=cuda."
ANN+QQBN+QQTN ensemble,MSFT,ANN/QQBN/QQTN calibrated ensemble,"Open, High, Low, Close, Volume, RSI, MACD, MACD_Signal, MACD_Hist, SMA5, SMA10, SMA20, ADX, Return_1, Log_Return_1, Return_2, Return_5, Momentum_3, Momentum_5, Volatility_5, Volatility_10, Volatility_20, Close_SMA5_Ratio, Close_SMA10_Ratio, Close_SMA20_Ratio, High_Low_Range, Open_Close_Range, Volume_Change, Volume_ZScore_20",0.4722222222222222,0.4722222222222222,0.4722222222222222,1.0,0.6415094339622641,0.0,0.5,1.0,0.4722222222222222,0.4722222222222222,0.5555555555555556,0.495,accuracy,0.6911764705882353,0.5333333333333333,0.4917869586859134,-1.15031523653609,0.10569017999513235,0.0,0.0,0.0,yfinance,"Validation-calibrated probability average over the reused interim ANN, QQBN, and QQTN models. This is an ensemble view, not a new paper architecture."
