symbol,model,threshold,threshold_objective,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_specificity,validation_balanced_accuracy
AAPL,ANN,0.49,f1,0.5111111111111111,0.5139664804469274,0.989247311827957,0.6764705882352942,0.0,0.4946236559139785
AAPL,QQBN,0.51,f1,0.5111111111111111,0.5139664804469274,0.989247311827957,0.6764705882352942,0.0,0.4946236559139785
AAPL,QQTN,0.495,f1,0.5222222222222223,0.519774011299435,0.989247311827957,0.6814814814814815,0.022988505747126436,0.5061179087875417
AAPL,QQTN balanced threshold,0.51,balanced_accuracy,0.5277777777777778,0.5238095238095238,0.946236559139785,0.674329501915709,0.08045977011494253,0.5133481646273638
AAPL,ANN+QQBN+QQTN ensemble,0.5299999999999999,accuracy,0.5333333333333333,0.5323741007194245,0.7956989247311828,0.6379310344827587,0.25287356321839083,0.5242862439747868
AAPL,ANN+QQBN+QQTN balanced ensemble,0.5299999999999999,balanced_accuracy,0.5333333333333333,0.5323741007194245,0.7956989247311828,0.6379310344827587,0.25287356321839083,0.5242862439747868
MSFT,ANN,0.495,f1,0.5444444444444444,0.5481927710843374,0.9285714285714286,0.6893939393939396,0.08536585365853659,0.5069686411149826
MSFT,QQBN,0.46499999999999997,f1,0.5388888888888889,0.5418994413407822,0.9897959183673469,0.700361010830325,0.0,0.49489795918367346
MSFT,QQTN,0.51,f1,0.5444444444444444,0.5454545454545454,0.9795918367346939,0.7007299270072993,0.024390243902439025,0.5019910403185665
MSFT,QQTN balanced threshold,0.51,balanced_accuracy,0.5444444444444444,0.5454545454545454,0.9795918367346939,0.7007299270072993,0.024390243902439025,0.5019910403185665
MSFT,ANN+QQBN+QQTN ensemble,0.495,accuracy,0.5333333333333333,0.5402298850574713,0.9591836734693877,0.6911764705882353,0.024390243902439025,0.4917869586859134
MSFT,ANN+QQBN+QQTN balanced ensemble,0.495,balanced_accuracy,0.5333333333333333,0.5402298850574713,0.9591836734693877,0.6911764705882353,0.024390243902439025,0.4917869586859134
GOOGL,ANN,0.5049999999999999,f1,0.5222222222222223,0.5251396648044693,0.9894736842105263,0.6861313868613138,0.0,0.49473684210526314
GOOGL,QQBN,0.52,f1,0.5222222222222223,0.5251396648044693,0.9894736842105263,0.6861313868613138,0.0,0.49473684210526314
GOOGL,QQTN,0.48,f1,0.5222222222222223,0.5251396648044693,0.9894736842105263,0.6861313868613138,0.0,0.49473684210526314
GOOGL,QQTN balanced threshold,0.5149999999999999,balanced_accuracy,0.55,0.5636363636363636,0.6526315789473685,0.6048780487804877,0.43529411764705883,0.5439628482972136
GOOGL,ANN+QQBN+QQTN ensemble,0.5249999999999999,accuracy,0.5611111111111111,0.5555555555555556,0.8421052631578947,0.6694560669456067,0.24705882352941178,0.5445820433436532
GOOGL,ANN+QQBN+QQTN balanced ensemble,0.5249999999999999,balanced_accuracy,0.5611111111111111,0.5555555555555556,0.8421052631578947,0.6694560669456067,0.24705882352941178,0.5445820433436532
NVDA,ANN,0.46499999999999997,f1,0.5333333333333333,0.5363128491620112,0.9896907216494846,0.6956521739130436,0.0,0.4948453608247423
NVDA,QQBN,0.47,f1,0.5333333333333333,0.5363128491620112,0.9896907216494846,0.6956521739130436,0.0,0.4948453608247423
NVDA,QQTN,0.45499999999999996,f1,0.5444444444444444,0.5433526011560693,0.9690721649484536,0.6962962962962963,0.04819277108433735,0.5086324680163955
NVDA,QQTN balanced threshold,0.45499999999999996,balanced_accuracy,0.5444444444444444,0.5433526011560693,0.9690721649484536,0.6962962962962963,0.04819277108433735,0.5086324680163955
NVDA,ANN+QQBN+QQTN ensemble,0.46499999999999997,accuracy,0.5333333333333333,0.5363128491620112,0.9896907216494846,0.6956521739130436,0.0,0.4948453608247423
NVDA,ANN+QQBN+QQTN balanced ensemble,0.49,balanced_accuracy,0.4777777777777778,0.7142857142857143,0.05154639175257732,0.09615384615384615,0.9759036144578314,0.5137250031052043
