context,count,p_0,p_1,p_2,p_3
0-0,12,0.08333333333333333,0.25,0.3333333333333333,0.3333333333333333
0-1,9,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.1111111111111111
0-2,16,0.25,0.1875,0.375,0.1875
0-3,14,0.07142857142857142,0.2857142857142857,0.42857142857142855,0.21428571428571427
1-0,20,0.45,0.15,0.2,0.2
1-1,30,0.3,0.36666666666666664,0.23333333333333334,0.1
1-2,22,0.22727272727272727,0.2727272727272727,0.36363636363636365,0.13636363636363635
1-3,11,0.18181818181818182,0.36363636363636365,0.0,0.45454545454545453
2-0,14,0.14285714285714285,0.21428571428571427,0.42857142857142855,0.21428571428571427
2-1,28,0.25,0.42857142857142855,0.14285714285714285,0.17857142857142858
2-2,23,0.08695652173913043,0.5217391304347826,0.2608695652173913,0.13043478260869565
2-3,10,0.1,0.4,0.4,0.1
3-0,5,0.0,0.0,0.4,0.6
3-1,16,0.125,0.25,0.5,0.125
3-2,14,0.2857142857142857,0.5,0.14285714285714285,0.07142857142857142
3-3,12,0.08333333333333333,0.3333333333333333,0.3333333333333333,0.25
