context,count,p_down,p_up
0000,20,0.55,0.45
0001,12,0.41666666666666663,0.5833333333333334
0010,11,0.36363636363636365,0.6363636363636364
0011,17,0.5882352941176471,0.4117647058823529
0100,6,0.33333333333333337,0.6666666666666666
0101,15,0.4,0.6
0110,21,0.47619047619047616,0.5238095238095238
0111,19,0.5263157894736843,0.47368421052631576
1000,12,0.75,0.25
1001,15,0.4,0.6
1010,10,0.19999999999999996,0.8
1011,23,0.4782608695652174,0.5217391304347826
1100,21,0.47619047619047616,0.5238095238095238
1101,19,0.26315789473684215,0.7368421052631579
1110,19,0.5789473684210527,0.42105263157894735
1111,16,0.5625,0.4375
