model,epoch,train_loss,val_loss,device
BiLSTM baseline,1,0.6620977954431013,0.6463673710823059,cuda
BiLSTM baseline,2,0.6419956900856711,0.6469367146492004,cuda
BiLSTM baseline,3,0.6423072218894958,0.6390986442565918,cuda
BiLSTM baseline,4,0.6417824896899137,0.6399151682853699,cuda
BiLSTM baseline,5,0.6411184180866588,0.6406649947166443,cuda
BiLSTM baseline,6,0.638915170322765,0.6423090696334839,cuda
BiLSTM baseline,7,0.6404807784340598,0.6412734389305115,cuda
BiLSTM baseline,8,0.6376656293869019,0.6451826095581055,cuda
BiLSTM baseline,9,0.6432643695311113,0.6417068243026733,cuda
BiLSTM baseline,10,0.638586775823073,0.6398014426231384,cuda
BiLSTM baseline,11,0.6401925953951749,0.6410519480705261,cuda
BiLSTM baseline,12,0.6422945206815546,0.6424702405929565,cuda
BiLSTM baseline,13,0.6385532509196888,0.6420578956604004,cuda
BiLSTM-QQTN hybrid,1,0.6405104181983254,0.6401641368865967,cuda
BiLSTM-QQTN hybrid,2,0.6385031505064531,0.6401476263999939,cuda
BiLSTM-QQTN hybrid,3,0.6400990377772938,0.6420875787734985,cuda
BiLSTM-QQTN hybrid,4,0.6384893439032815,0.6402763724327087,cuda
BiLSTM-QQTN hybrid,5,0.6380815993655812,0.6402636170387268,cuda
BiLSTM-QQTN hybrid,6,0.6379658254710111,0.6404567956924438,cuda
BiLSTM-QQTN hybrid,7,0.6383878534490411,0.6402588486671448,cuda
BiLSTM-QQTN hybrid,8,0.6371646902777932,0.6408131122589111,cuda
BiLSTM-QQTN hybrid,9,0.6417880708521063,0.6418597102165222,cuda
BiLSTM-QQTN hybrid,10,0.6385708776387301,0.6409053206443787,cuda
BiLSTM-QQTN hybrid,11,0.6368170109662142,0.6404629349708557,cuda
BiLSTM-QQTN hybrid,12,0.6399046832864935,0.6404030323028564,cuda
