model,epoch,train_loss,val_loss,device
BiLSTM regressor,1,0.0517484513534741,0.033167872577905655,cuda
BiLSTM regressor,2,0.01178988865153356,0.007224644534289837,cuda
BiLSTM regressor,3,0.007091722662814639,0.009145231917500496,cuda
BiLSTM regressor,4,0.005193431586535139,0.0065090712159872055,cuda
BiLSTM regressor,5,0.004794205898757686,0.00659277243539691,cuda
BiLSTM regressor,6,0.004460961198095571,0.006146057974547148,cuda
BiLSTM regressor,7,0.0042950766245749864,0.006586319766938686,cuda
BiLSTM regressor,8,0.004535961451686241,0.013531696051359177,cuda
BiLSTM regressor,9,0.004514420701360161,0.009376002475619316,cuda
BiLSTM regressor,10,0.0039016236127777533,0.008896361105144024,cuda
BiLSTM regressor,11,0.0035282967675646596,0.008169400505721569,cuda
BiLSTM regressor,12,0.0035284984518181195,0.007363317999988794,cuda
BiLSTM regressor,13,0.003797431074252183,0.006131422705948353,cuda
BiLSTM regressor,14,0.003453212769024751,0.005431791767477989,cuda
BiLSTM regressor,15,0.003589883954687552,0.006707961671054363,cuda
BiLSTM regressor,16,0.0033796326976946807,0.006647008471190929,cuda
BiLSTM regressor,17,0.0034443660723892126,0.008895261213183403,cuda
BiLSTM regressor,18,0.0031618746315044436,0.0054696062579751015,cuda
BiLSTM regressor,19,0.003476191968233748,0.006734576541930437,cuda
BiLSTM regressor,20,0.003455794183537364,0.006093879230320454,cuda
BiLSTM regressor,21,0.0034284207292578435,0.007717981468886137,cuda
BiLSTM regressor,22,0.003336149246685884,0.008565743453800678,cuda
BiLSTM regressor,23,0.0029847835486924105,0.007222659420222044,cuda
BiLSTM regressor,24,0.003282200777903199,0.00634286692366004,cuda
BiLSTM regressor,25,0.0031535355691713366,0.00687610125169158,cuda
BiLSTM regressor,26,0.0031710906292904506,0.00635819835588336,cuda
BiLSTM-QQTN regressor,1,0.07552633671598001,0.04857780039310455,cuda
BiLSTM-QQTN regressor,2,0.04340962117368525,0.016509871929883957,cuda
BiLSTM-QQTN regressor,3,0.01440700109709393,0.025996476411819458,cuda
BiLSTM-QQTN regressor,4,0.008037993176416918,0.0089165810495615,cuda
BiLSTM-QQTN regressor,5,0.005370159908621149,0.007483312394469976,cuda
BiLSTM-QQTN regressor,6,0.004256802589886568,0.007059128023684025,cuda
BiLSTM-QQTN regressor,7,0.003883764020759951,0.009288942441344261,cuda
BiLSTM-QQTN regressor,8,0.00375359310683879,0.010274999774992466,cuda
BiLSTM-QQTN regressor,9,0.0037070862017571926,0.006066932808607817,cuda
BiLSTM-QQTN regressor,10,0.003485209562561729,0.00759584316983819,cuda
BiLSTM-QQTN regressor,11,0.002900666557252407,0.006085140164941549,cuda
BiLSTM-QQTN regressor,12,0.003153469921513037,0.0056939199566841125,cuda
BiLSTM-QQTN regressor,13,0.0033456808993254194,0.006551387719810009,cuda
BiLSTM-QQTN regressor,14,0.003108093049377203,0.005665565840899944,cuda
BiLSTM-QQTN regressor,15,0.0027797232403165913,0.00613043550401926,cuda
BiLSTM-QQTN regressor,16,0.0027788434579799123,0.006814743857830763,cuda
BiLSTM-QQTN regressor,17,0.002698313995179805,0.0056911129504442215,cuda
BiLSTM-QQTN regressor,18,0.002986378607932817,0.0048399269580841064,cuda
BiLSTM-QQTN regressor,19,0.0027984649218110876,0.005080500617623329,cuda
BiLSTM-QQTN regressor,20,0.0028682061132382264,0.008289228193461895,cuda
BiLSTM-QQTN regressor,21,0.002702337774363431,0.004779038485139608,cuda
BiLSTM-QQTN regressor,22,0.002667802343653007,0.004915828816592693,cuda
BiLSTM-QQTN regressor,23,0.0024486037119376388,0.00540584372356534,cuda
BiLSTM-QQTN regressor,24,0.002712694060226733,0.00664058281108737,cuda
BiLSTM-QQTN regressor,25,0.0023859872757880526,0.004949249792844057,cuda
BiLSTM-QQTN regressor,26,0.002372156151316383,0.00525364326313138,cuda
BiLSTM-QQTN regressor,27,0.0023448871956630187,0.005691142287105322,cuda
BiLSTM-QQTN regressor,28,0.0021540333135900173,0.005940706934779882,cuda
BiLSTM-QQTN regressor,29,0.0020595159148797393,0.0044112964533269405,cuda
BiLSTM-QQTN regressor,30,0.002081959296695211,0.006967600900679827,cuda
BiLSTM-QQTN regressor,31,0.0024554586694152517,0.004743317607790232,cuda
BiLSTM-QQTN regressor,32,0.0021635916782543063,0.0060288673266768456,cuda
BiLSTM-QQTN regressor,33,0.0020903733728284187,0.0043801418505609035,cuda
BiLSTM-QQTN regressor,34,0.0023464567070318894,0.006014685612171888,cuda
BiLSTM-QQTN regressor,35,0.0021139321298423138,0.00698055000975728,cuda
BiLSTM-QQTN regressor,36,0.002063110830600966,0.0045511419884860516,cuda
BiLSTM-QQTN regressor,37,0.002020496197722175,0.0056717004626989365,cuda
BiLSTM-QQTN regressor,38,0.0019424581392244859,0.004835027270019054,cuda
BiLSTM-QQTN regressor,39,0.0020581282759931955,0.005485027562826872,cuda
BiLSTM-QQTN regressor,40,0.001989404681477357,0.004501767922192812,cuda
BiLSTM-QQTN regressor,41,0.0018515433184802532,0.004164428450167179,cuda
BiLSTM-QQTN regressor,42,0.001998058520257473,0.004111981485038996,cuda
BiLSTM-QQTN regressor,43,0.002001008029434491,0.004641718231141567,cuda
BiLSTM-QQTN regressor,44,0.002200145126235756,0.004203675780445337,cuda
BiLSTM-QQTN regressor,45,0.001948320338587192,0.005540261976420879,cuda
BiLSTM-QQTN regressor,46,0.0017952339152212846,0.005187771283090115,cuda
BiLSTM-QQTN regressor,47,0.0018819574880498376,0.004289222415536642,cuda
BiLSTM-QQTN regressor,48,0.0017334299521859396,0.005766262765973806,cuda
BiLSTM-QQTN regressor,49,0.0018237132621421056,0.00486361188814044,cuda
BiLSTM-QQTN regressor,50,0.0017442405964671211,0.0049000149592757225,cuda
BiLSTM-QQTN regressor,51,0.0017953404564071786,0.005382969044148922,cuda
BiLSTM-QQTN regressor,52,0.0017182306936857376,0.00511227548122406,cuda
BiLSTM-QQTN regressor,53,0.0017618503612042828,0.0053114742040634155,cuda
BiLSTM-QQTN regressor,54,0.0017496206776492975,0.0050052921287715435,cuda
